FacilityEnglish,Hour,StandbyTime
"20,000 Leagues Under the Sea",8,5.0
"20,000 Leagues Under the Sea",9,25.357142857142858
"20,000 Leagues Under the Sea",10,33.46153846153846
"20,000 Leagues Under the Sea",11,31.785714285714285
"20,000 Leagues Under the Sea",12,24.545454545454547
"20,000 Leagues Under the Sea",13,17.6
"20,000 Leagues Under the Sea",14,14.375
"20,000 Leagues Under the Sea",15,14.166666666666666
"20,000 Leagues Under the Sea",16,8.055555555555555
"20,000 Leagues Under the Sea",17,5.277777777777778
"20,000 Leagues Under the Sea",18,6.0
"20,000 Leagues Under the Sea",19,5.0
"20,000 Leagues Under the Sea",20,5.0
Anna and Elsa's Frozen Journey,8,5.0
Anna and Elsa's Frozen Journey,9,5.0
Anna and Elsa's Frozen Journey,10,9.23076923076923
Anna and Elsa's Frozen Journey,11,28.928571428571427
Anna and Elsa's Frozen Journey,12,41.81818181818182
Anna and Elsa's Frozen Journey,13,59.6
Anna and Elsa's Frozen Journey,14,52.916666666666664
Anna and Elsa's Frozen Journey,15,51.25
Anna and Elsa's Frozen Journey,16,82.3076923076923
Anna and Elsa's Frozen Journey,17,55.0
Anna and Elsa's Frozen Journey,18,31.764705882352942
Anna and Elsa's Frozen Journey,19,45.0
Anna and Elsa's Frozen Journey,20,33.23529411764706
Aquatopia,8,5.0
Aquatopia,9,23.076923076923077
Aquatopia,10,29.23076923076923
Aquatopia,11,16.785714285714285
Aquatopia,12,10.0
Aquatopia,13,20.5
Aquatopia,14,25.0
Aquatopia,15,27.5
Aquatopia,16,28.055555555555557
Aquatopia,17,23.055555555555557
Aquatopia,18,15.0
Aquatopia,19,7.75
Aquatopia,20,5.0
Big City Vehicles,8,5.0
Big City Vehicles,9,5.0
Big City Vehicles,10,5.0
Big City Vehicles,11,5.0
Big City Vehicles,12,5.0
Big City Vehicles,13,5.0
Big City Vehicles,14,5.0
Big City Vehicles,15,5.0
Big City Vehicles,16,5.0
Big City Vehicles,17,5.0
Big City Vehicles,18,5.0
Big City Vehicles,19,5.0
Big City Vehicles,20,5.0
Blowfish Balloon Race,8,5.0
Blowfish Balloon Race,9,10.714285714285714
Blowfish Balloon Race,10,17.692307692307693
Blowfish Balloon Race,11,16.785714285714285
Blowfish Balloon Race,12,16.818181818181817
Blowfish Balloon Race,13,18.6
Blowfish Balloon Race,14,21.041666666666668
Blowfish Balloon Race,15,20.0
Blowfish Balloon Race,16,19.333333333333332
Blowfish Balloon Race,17,15.277777777777779
Blowfish Balloon Race,18,15.294117647058824
Blowfish Balloon Race,19,11.25
Blowfish Balloon Race,20,5.833333333333333
Caravan Carousel,8,5.0
Caravan Carousel,9,5.0
Caravan Carousel,10,5.0
Caravan Carousel,11,5.0
Caravan Carousel,12,5.0
Caravan Carousel,13,5.0
Caravan Carousel,14,5.0
Caravan Carousel,15,5.0
Caravan Carousel,16,5.0
Caravan Carousel,17,5.0
Caravan Carousel,18,5.0
Caravan Carousel,19,5.0
Caravan Carousel,20,5.0
DisneySea Electric Railway (American Waterfront),8,5.0
DisneySea Electric Railway (American Waterfront),9,12.857142857142858
DisneySea Electric Railway (American Waterfront),10,13.846153846153847
DisneySea Electric Railway (American Waterfront),11,11.071428571428571
DisneySea Electric Railway (American Waterfront),12,6.818181818181818
DisneySea Electric Railway (American Waterfront),13,10.4
DisneySea Electric Railway (American Waterfront),14,15.416666666666666
DisneySea Electric Railway (American Waterfront),15,8.88888888888889
DisneySea Electric Railway (American Waterfront),16,10.833333333333334
DisneySea Electric Railway (American Waterfront),17,12.5
DisneySea Electric Railway (American Waterfront),18,10.294117647058824
DisneySea Electric Railway (American Waterfront),19,5.75
DisneySea Electric Railway (American Waterfront),20,5.0
DisneySea Electric Railway (Port Discovery),8,5.0
DisneySea Electric Railway (Port Discovery),9,5.0
DisneySea Electric Railway (Port Discovery),10,5.0
DisneySea Electric Railway (Port Discovery),11,5.0
DisneySea Electric Railway (Port Discovery),12,7.7272727272727275
DisneySea Electric Railway (Port Discovery),13,8.6
DisneySea Electric Railway (Port Discovery),14,10.208333333333334
DisneySea Electric Railway (Port Discovery),15,12.222222222222221
DisneySea Electric Railway (Port Discovery),16,10.833333333333334
DisneySea Electric Railway (Port Discovery),17,9.722222222222221
DisneySea Electric Railway (Port Discovery),18,10.0
DisneySea Electric Railway (Port Discovery),19,15.25
DisneySea Electric Railway (Port Discovery),20,7.222222222222222
DisneySea Transit Steamer Line (American Waterfront),8,5.0
DisneySea Transit Steamer Line (American Waterfront),9,5.0
DisneySea Transit Steamer Line (American Waterfront),10,5.0
DisneySea Transit Steamer Line (American Waterfront),11,5.0
DisneySea Transit Steamer Line (American Waterfront),12,5.0
DisneySea Transit Steamer Line (American Waterfront),13,5.0
DisneySea Transit Steamer Line (American Waterfront),14,5.0
DisneySea Transit Steamer Line (American Waterfront),15,5.0
DisneySea Transit Steamer Line (American Waterfront),16,10.0
DisneySea Transit Steamer Line (American Waterfront),17,15.0
DisneySea Transit Steamer Line (American Waterfront),18,20.0
DisneySea Transit Steamer Line (American Waterfront),19,20.0
DisneySea Transit Steamer Line (American Waterfront),20,20.0
DisneySea Transit Steamer Line (Lost River Delta),8,5.0
DisneySea Transit Steamer Line (Lost River Delta),9,5.0
DisneySea Transit Steamer Line (Lost River Delta),10,5.0
DisneySea Transit Steamer Line (Lost River Delta),11,5.0
DisneySea Transit Steamer Line (Lost River Delta),12,5.0
DisneySea Transit Steamer Line (Lost River Delta),13,5.0
DisneySea Transit Steamer Line (Lost River Delta),14,5.769230769230769
DisneySea Transit Steamer Line (Lost River Delta),15,9.705882352941176
DisneySea Transit Steamer Line (Lost River Delta),16,8.88888888888889
DisneySea Transit Steamer Line (Lost River Delta),17,10.277777777777779
DisneySea Transit Steamer Line (Lost River Delta),18,12.0
DisneySea Transit Steamer Line (Lost River Delta),19,25.0
DisneySea Transit Steamer Line (Lost River Delta),20,20.0
DisneySea Transit Steamer Line (Mediterranean Harbor),8,5.0
DisneySea Transit Steamer Line (Mediterranean Harbor),9,18.214285714285715
DisneySea Transit Steamer Line (Mediterranean Harbor),10,11.923076923076923
DisneySea Transit Steamer Line (Mediterranean Harbor),11,5.0
DisneySea Transit Steamer Line (Mediterranean Harbor),12,5.0
DisneySea Transit Steamer Line (Mediterranean Harbor),13,5.0
DisneySea Transit Steamer Line (Mediterranean Harbor),14,6.25
DisneySea Transit Steamer Line (Mediterranean Harbor),15,7.5
DisneySea Transit Steamer Line (Mediterranean Harbor),16,8.75
DisneySea Transit Steamer Line (Mediterranean Harbor),17,10.0
DisneySea Transit Steamer Line (Mediterranean Harbor),18,7.5
DisneySea Transit Steamer Line (Mediterranean Harbor),19,10.0
DisneySea Transit Steamer Line (Mediterranean Harbor),20,10.0
Fairy Tinker Bell's Busy Buggies1,8,10.0
Fairy Tinker Bell's Busy Buggies1,9,10.0
Fairy Tinker Bell's Busy Buggies1,10,10.0
Fairy Tinker Bell's Busy Buggies1,11,9.545454545454545
Fairy Tinker Bell's Busy Buggies1,12,24.09090909090909
Fairy Tinker Bell's Busy Buggies1,13,30.4
Fairy Tinker Bell's Busy Buggies1,14,30.625
Fairy Tinker Bell's Busy Buggies1,15,28.055555555555557
Fairy Tinker Bell's Busy Buggies1,16,21.11111111111111
Fairy Tinker Bell's Busy Buggies1,17,7.222222222222222
Fairy Tinker Bell's Busy Buggies1,18,9.705882352941176
Fairy Tinker Bell's Busy Buggies1,19,23.0
Fairy Tinker Bell's Busy Buggies1,20,15.0
Flounder's Flying Fish Coaster,8,5.0
Flounder's Flying Fish Coaster,9,12.5
Flounder's Flying Fish Coaster,10,19.615384615384617
Flounder's Flying Fish Coaster,11,15.357142857142858
Flounder's Flying Fish Coaster,12,10.909090909090908
Flounder's Flying Fish Coaster,13,10.6
Flounder's Flying Fish Coaster,14,12.291666666666666
Flounder's Flying Fish Coaster,15,15.0
Flounder's Flying Fish Coaster,16,12.777777777777779
Flounder's Flying Fish Coaster,17,14.722222222222221
Flounder's Flying Fish Coaster,18,14.117647058823529
Flounder's Flying Fish Coaster,19,6.5
Flounder's Flying Fish Coaster,20,5.0
"Fortress Explorations ""The Leonardo Challenge""",8,5.0
"Fortress Explorations ""The Leonardo Challenge""",9,5.0
"Fortress Explorations ""The Leonardo Challenge""",10,5.0
"Fortress Explorations ""The Leonardo Challenge""",11,5.0
"Fortress Explorations ""The Leonardo Challenge""",12,5.0
"Fortress Explorations ""The Leonardo Challenge""",13,5.0
"Fortress Explorations ""The Leonardo Challenge""",14,5.0
"Fortress Explorations ""The Leonardo Challenge""",15,5.0
"Fortress Explorations ""The Leonardo Challenge""",16,5.0
"Fortress Explorations ""The Leonardo Challenge""",17,5.0
"Fortress Explorations ""The Leonardo Challenge""",18,5.0
"Fortress Explorations ""The Leonardo Challenge""",19,5.0
"Fortress Explorations ""The Leonardo Challenge""",20,5.0
Indiana Jones Adventure: Temple of the Crystal Skull,8,5.0
Indiana Jones Adventure: Temple of the Crystal Skull,9,45.714285714285715
Indiana Jones Adventure: Temple of the Crystal Skull,10,49.61538461538461
Indiana Jones Adventure: Temple of the Crystal Skull,11,42.5
Indiana Jones Adventure: Temple of the Crystal Skull,12,42.72727272727273
Indiana Jones Adventure: Temple of the Crystal Skull,13,45.6
Indiana Jones Adventure: Temple of the Crystal Skull,14,48.958333333333336
Indiana Jones Adventure: Temple of the Crystal Skull,15,50.27777777777778
Indiana Jones Adventure: Temple of the Crystal Skull,16,41.666666666666664
Indiana Jones Adventure: Temple of the Crystal Skull,17,36.94444444444444
Indiana Jones Adventure: Temple of the Crystal Skull,18,36.470588235294116
Indiana Jones Adventure: Temple of the Crystal Skull,19,23.25
Indiana Jones Adventure: Temple of the Crystal Skull,20,8.61111111111111
Jasmine's Flying Carpets,8,5.0
Jasmine's Flying Carpets,9,11.428571428571429
Jasmine's Flying Carpets,10,17.307692307692307
Jasmine's Flying Carpets,11,15.357142857142858
Jasmine's Flying Carpets,12,11.363636363636363
Jasmine's Flying Carpets,13,10.6
Jasmine's Flying Carpets,14,8.958333333333334
Jasmine's Flying Carpets,15,13.61111111111111
Jasmine's Flying Carpets,16,12.222222222222221
Jasmine's Flying Carpets,17,13.88888888888889
Jasmine's Flying Carpets,18,14.411764705882353
Jasmine's Flying Carpets,19,9.0
Jasmine's Flying Carpets,20,5.0
Journey to the Center of the Earth,8,52.5
Journey to the Center of the Earth,9,67.14285714285714
Journey to the Center of the Earth,10,65.0
Journey to the Center of the Earth,11,52.857142857142854
Journey to the Center of the Earth,12,49.09090909090909
Journey to the Center of the Earth,13,50.8
Journey to the Center of the Earth,14,51.25
Journey to the Center of the Earth,15,55.55555555555556
Journey to the Center of the Earth,16,46.388888888888886
Journey to the Center of the Earth,17,48.888888888888886
Journey to the Center of the Earth,18,44.11764705882353
Journey to the Center of the Earth,19,33.5
Journey to the Center of the Earth,20,23.333333333333332
Jumpin' Jellyfish,8,5.0
Jumpin' Jellyfish,9,10.714285714285714
Jumpin' Jellyfish,10,16.153846153846153
Jumpin' Jellyfish,11,10.714285714285714
Jumpin' Jellyfish,12,7.7272727272727275
Jumpin' Jellyfish,13,10.4
Jumpin' Jellyfish,14,12.916666666666666
Jumpin' Jellyfish,15,14.444444444444445
Jumpin' Jellyfish,16,10.555555555555555
Jumpin' Jellyfish,17,5.555555555555555
Jumpin' Jellyfish,18,5.0
Jumpin' Jellyfish,19,5.0
Jumpin' Jellyfish,20,5.0
Mermaid Lagoon Theater,8,0.0
Mermaid Lagoon Theater,9,0.0
Mermaid Lagoon Theater,10,0.0
Mermaid Lagoon Theater,11,0.0
Mermaid Lagoon Theater,12,0.0
Mermaid Lagoon Theater,13,0.0
Mermaid Lagoon Theater,14,0.0
Mermaid Lagoon Theater,15,0.0
Mermaid Lagoon Theater,16,0.0
Mermaid Lagoon Theater,17,0.0
Mermaid Lagoon Theater,18,0.0
Mermaid Lagoon Theater,19,0.0
Mermaid Lagoon Theater,20,0.0
Nemo & Friends SeaRider,8,15.0
Nemo & Friends SeaRider,9,17.5
Nemo & Friends SeaRider,10,17.857142857142858
Nemo & Friends SeaRider,11,16.428571428571427
Nemo & Friends SeaRider,12,15.0
Nemo & Friends SeaRider,13,15.0
Nemo & Friends SeaRider,14,15.0
Nemo & Friends SeaRider,15,15.0
Nemo & Friends SeaRider,16,15.0
Nemo & Friends SeaRider,17,15.0
Nemo & Friends SeaRider,18,15.0
Nemo & Friends SeaRider,19,15.0
Nemo & Friends SeaRider,20,15.0
Peter Pan's Neverland Adventure,8,5.0
Peter Pan's Neverland Adventure,9,5.555555555555555
Peter Pan's Neverland Adventure,10,15.384615384615385
Peter Pan's Neverland Adventure,11,31.785714285714285
Peter Pan's Neverland Adventure,12,77.72727272727273
Peter Pan's Neverland Adventure,13,68.8
Peter Pan's Neverland Adventure,14,53.541666666666664
Peter Pan's Neverland Adventure,15,33.888888888888886
Peter Pan's Neverland Adventure,16,48.888888888888886
Peter Pan's Neverland Adventure,17,43.05555555555556
Peter Pan's Neverland Adventure,18,28.529411764705884
Peter Pan's Neverland Adventure,19,26.5
Peter Pan's Neverland Adventure,20,18.055555555555557
Raging Spirits,8,5.833333333333333
Raging Spirits,9,41.42857142857143
Raging Spirits,10,48.07692307692308
Raging Spirits,11,41.42857142857143
Raging Spirits,12,35.90909090909091
Raging Spirits,13,36.0
Raging Spirits,14,36.458333333333336
Raging Spirits,15,40.833333333333336
Raging Spirits,16,41.388888888888886
Raging Spirits,17,41.111111111111114
Raging Spirits,18,38.0
Raging Spirits,19,17.25
Raging Spirits,20,10.294117647058824
Rapunzel's Lantern Festival,8,5.0
Rapunzel's Lantern Festival,9,5.0
Rapunzel's Lantern Festival,10,5.384615384615385
Rapunzel's Lantern Festival,11,15.0
Rapunzel's Lantern Festival,12,12.727272727272727
Rapunzel's Lantern Festival,13,27.6
Rapunzel's Lantern Festival,14,24.375
Rapunzel's Lantern Festival,15,39.166666666666664
Rapunzel's Lantern Festival,16,45.55555555555556
Rapunzel's Lantern Festival,17,37.5
Rapunzel's Lantern Festival,18,20.294117647058822
Rapunzel's Lantern Festival,19,26.5
Rapunzel's Lantern Festival,20,8.88888888888889
Scuttle's Scooter,8,4.166666666666667
Scuttle's Scooter,9,8.214285714285714
Scuttle's Scooter,10,9.23076923076923
Scuttle's Scooter,11,5.833333333333333
Scuttle's Scooter,12,5.0
Scuttle's Scooter,13,5.0
Scuttle's Scooter,14,10.0
Scuttle's Scooter,15,7.0
Scuttle's Scooter,16,5.0
Scuttle's Scooter,17,5.0
Scuttle's Scooter,18,5.0
Scuttle's Scooter,19,5.0
Scuttle's Scooter,20,5.0
Sindbad's Storybook Voyage,8,0.0
Sindbad's Storybook Voyage,9,0.0
Sindbad's Storybook Voyage,10,0.0
Sindbad's Storybook Voyage,11,0.0
Sindbad's Storybook Voyage,12,0.0
Sindbad's Storybook Voyage,13,0.0
Sindbad's Storybook Voyage,14,0.0
Sindbad's Storybook Voyage,15,0.0
Sindbad's Storybook Voyage,16,0.0
Sindbad's Storybook Voyage,17,0.0
Sindbad's Storybook Voyage,18,0.0
Sindbad's Storybook Voyage,19,0.0
Sindbad's Storybook Voyage,20,0.0
Soaring: Fantastic Flight,8,65.0
Soaring: Fantastic Flight,9,98.21428571428571
Soaring: Fantastic Flight,10,89.23076923076923
Soaring: Fantastic Flight,11,64.28571428571429
Soaring: Fantastic Flight,12,61.81818181818182
Soaring: Fantastic Flight,13,51.8
Soaring: Fantastic Flight,14,62.083333333333336
Soaring: Fantastic Flight,15,61.388888888888886
Soaring: Fantastic Flight,16,60.0
Soaring: Fantastic Flight,17,63.05555555555556
Soaring: Fantastic Flight,18,56.76470588235294
Soaring: Fantastic Flight,19,47.75
Soaring: Fantastic Flight,20,34.54545454545455
The Magic Lamp Theater,8,15.0
The Magic Lamp Theater,9,15.0
The Magic Lamp Theater,10,15.0
The Magic Lamp Theater,11,15.0
The Magic Lamp Theater,12,15.0
The Magic Lamp Theater,13,15.0
The Magic Lamp Theater,14,15.0
The Magic Lamp Theater,15,15.0
The Magic Lamp Theater,16,15.0
The Magic Lamp Theater,17,15.0
The Magic Lamp Theater,18,15.0
The Magic Lamp Theater,19,15.0
The Magic Lamp Theater,20,15.0
Tower of Terror,8,5.0
Tower of Terror,9,64.64285714285714
Tower of Terror,10,51.53846153846154
Tower of Terror,11,39.285714285714285
Tower of Terror,12,35.90909090909091
Tower of Terror,13,33.4
Tower of Terror,14,37.291666666666664
Tower of Terror,15,37.5
Tower of Terror,16,37.5
Tower of Terror,17,39.72222222222222
Tower of Terror,18,35.588235294117645
Tower of Terror,19,31.0
Tower of Terror,20,23.666666666666668
Toy Story Mania!,8,52.5
Toy Story Mania!,9,76.78571428571429
Toy Story Mania!,10,62.30769230769231
Toy Story Mania!,11,40.357142857142854
Toy Story Mania!,12,53.63636363636363
Toy Story Mania!,13,50.0
Toy Story Mania!,14,53.75
Toy Story Mania!,15,57.22222222222222
Toy Story Mania!,16,57.22222222222222
Toy Story Mania!,17,50.0
Toy Story Mania!,18,48.23529411764706
Toy Story Mania!,19,43.75
Toy Story Mania!,20,33.0
Turtle Talk,8,5.0
Turtle Talk,9,21.071428571428573
Turtle Talk,10,21.53846153846154
Turtle Talk,11,16.785714285714285
Turtle Talk,12,15.909090909090908
Turtle Talk,13,15.4
Turtle Talk,14,17.291666666666668
Turtle Talk,15,15.277777777777779
Turtle Talk,16,16.38888888888889
Turtle Talk,17,16.944444444444443
Turtle Talk,18,17.352941176470587
Turtle Talk,19,17.25
Turtle Talk,20,16.944444444444443
Venetian Gondolas,8,5.0
Venetian Gondolas,9,5.0
Venetian Gondolas,10,5.0
Venetian Gondolas,11,6.0
Venetian Gondolas,12,7.0
Venetian Gondolas,13,8.0
Venetian Gondolas,14,9.0
Venetian Gondolas,15,7.857142857142857
Venetian Gondolas,16,5.0
Venetian Gondolas,17,8.0
Venetian Gondolas,18,14.285714285714286
Venetian Gondolas,19,5.0
Venetian Gondolas,20,5.0
Whirlpool,8,5.0
Whirlpool,9,10.0
Whirlpool,10,14.615384615384615
Whirlpool,11,11.785714285714286
Whirlpool,12,19.09090909090909
Whirlpool,13,15.8
Whirlpool,14,17.708333333333332
Whirlpool,15,17.77777777777778
Whirlpool,16,17.5
Whirlpool,17,13.88888888888889
Whirlpool,18,10.0
Whirlpool,19,10.25
Whirlpool,20,5.555555555555555
